ID,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
,VTI,2020-12-30,193.89999400,194.37550400,193.60499600,193.75000000,4312306.00000000,193.75000000
,XLB,2020-12-30,71.37000300,72.26000200,71.33000200,72.11000100,2825906.00000000,72.11000100
,XLE,2020-12-30,37.66000000,38.57500100,37.57000000,38.22000100,27844354.00000000,38.22000100
,XLI,2020-12-30,87.73000300,88.37999700,87.68000000,88.13999900,4964815.00000000,88.13999900
,XLK,2020-12-30,130.35000600,130.61999500,129.63999900,129.83000200,4048328.00000000,129.83000200
,XLK,2019-12-30,91.16550000,91.17550000,89.95550000,90.65550000,8245600.00000000,90.65550000
,XLB,2019-12-30,60.55440000,60.56440000,60.16440000,60.23440000,3007700.00000000,60.23440000
,XLI,2019-12-30,81.00440000,81.00440000,80.37440000,80.53440000,7716400.00000000,80.53440000
,VTI,2019-12-30,162.75760000,162.83760000,161.36760000,161.64760000,4503500.00000000,161.64760000
,XLE,2019-12-30,58.07400000,58.18400000,57.56400000,57.65400000,14629500.00000000,57.65400000
,XLE,2018-12-31,52.09970000,52.30970000,51.21970000,51.88970000,18705200.00000000,51.88970000
,XLI,2018-12-31,62.09060000,62.48060000,61.67060000,62.35060000,10068900.00000000,62.35060000
,XLK,2018-12-31,60.63710000,60.91710000,60.16710000,60.68710000,16860100.00000000,60.68710000
,XLB,2018-12-31,48.63370000,48.97370000,48.32370000,48.88370000,7798000.00000000,48.88370000
,VTI,2018-12-31,123.78400000,124.13400000,122.68400000,124.03400000,9414800.00000000,124.03400000
,XLE,2018-12-28,52.31830000,52.57830000,51.26830000,51.61830000,19437400.00000000,51.61830000
,XLK,2018-12-28,60.70920000,61.13920000,59.58920000,60.11920000,19842900.00000000,60.11920000
,XLI,2018-12-28,62.13110000,62.66110000,61.51110000,61.73110000,15917200.00000000,61.73110000
,XLB,2018-12-28,49.01730000,49.28730000,48.28730000,48.47730000,9453000.00000000,48.47730000
,VTI,2018-12-28,123.93780000,124.74780000,122.16780000,122.86780000,11668700.00000000,122.86780000
,VTI,2017-12-29,131.71560000,131.73560000,130.78560000,130.88560000,2256500.00000000,130.88560000
,XLI,2017-12-29,72.17170000,72.20170000,71.80170000,71.87170000,4825900.00000000,71.87170000
,XLB,2017-12-29,57.76750000,57.76750000,57.36750000,57.42750000,2484800.00000000,57.42750000
,XLE,2017-12-29,63.84860000,63.88860000,63.32860000,63.44860000,7356400.00000000,63.44860000
,XLK,2017-12-29,62.10230000,62.12230000,61.67230000,61.72230000,6693200.00000000,61.72230000
,XLB,2016-12-30,46.70770000,46.78770000,46.10770000,46.30770000,4929900.00000000,46.30770000
,XLK,2016-12-30,46.46340000,46.46340000,45.82340000,45.97340000,8501600.00000000,45.97340000
,XLI,2016-12-30,58.35080000,58.50080000,57.77080000,57.97080000,6932300.00000000,57.97080000
,VTI,2016-12-30,108.65940000,108.65940000,107.61940000,107.97940000,2909900.00000000,107.97940000
,XLE,2016-12-30,64.16670000,64.58670000,63.77670000,64.01670000,8853300.00000000,64.01670000
,XLE,2016-12-29,64.24370000,64.46370000,63.93360000,64.20370000,6697400.00000000,64.20370000
,XLK,2016-12-29,46.32470000,46.46470000,46.21470000,46.33470000,4796500.00000000,46.33470000
,XLI,2016-12-29,58.23580000,58.48580000,58.06580000,58.17580000,7757200.00000000,58.17580000
,XLB,2016-12-29,46.59520000,46.82520000,46.53520000,46.61520000,2863500.00000000,46.61520000
,VTI,2016-12-29,108.37200000,108.66200000,108.10200000,108.38200000,1622700.00000000,108.38200000
,XLB,2015-12-30,40.26530000,40.40530000,39.93530000,39.99530000,3339100.00000000,39.99530000
,XLE,2015-12-30,49.75930000,50.61930000,49.71930000,49.77930000,15051200.00000000,49.77930000
,VTI,2015-12-30,97.28740000,97.32740000,96.57740000,96.64740000,2405900.00000000,96.64740000
,XLK,2015-12-30,40.89210000,40.89210000,40.54210000,40.54210000,7196500.00000000,40.54210000
,XLI,2015-12-30,49.01220000,49.11220000,48.59220000,48.66220000,10957700.00000000,48.66220000
,XLB,2015-12-29,40.20970000,40.52970000,40.18970000,40.36970000,3885400.00000000,40.36970000
,VTI,2015-12-29,96.95150000,97.50150000,96.80150000,97.38150000,2508300.00000000,97.38150000
,XLI,2015-12-29,48.81230000,49.17230000,48.75230000,49.07230000,5054700.00000000,49.07230000
,XLK,2015-12-29,40.55740000,40.99740000,40.46740000,40.88740000,6809200.00000000,40.88740000
,XLE,2015-12-29,51.07900000,51.25900000,50.12900000,50.45900000,15106300.00000000,50.45900000
,XLK,2014-12-30,38.54160000,38.60160000,38.28160000,38.32160000,5503400.00000000,38.32160000
,XLB,2014-12-30,43.91220000,44.07220000,43.83220000,43.85220000,2167600.00000000,43.85220000
,VTI,2014-12-30,96.68650000,96.72650000,96.25650000,96.32650000,4473000.00000000,96.32650000
,XLI,2014-12-30,51.57830000,51.57830000,50.91830000,50.99830000,3602800.00000000,50.99830000
