Country Name,Variable,Variable Name,Units,Date,Value
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1990-01-01,38864.74
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1991-01-01,38453.71
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1992-01-01,39428.52
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1993-01-01,40117.18
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1994-01-01,41302.31
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1995-01-01,41943.55
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1996-01-01,43011.47
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1997-01-01,44365.67
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1998-01-01,45770.75
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1999-01-01,47365.77
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2000-01-01,48767.07
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2001-01-01,48752.56
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2002-01-01,49140.45
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2003-01-01,50104.12
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2004-01-01,51555.84
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2005-01-01,52889.71
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2006-01-01,53894.45
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2007-01-01,54385.16
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2008-01-01,53795.91
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2009-01-01,51948.27
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2010-01-01,52813.89
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2011-01-01,53190.13
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2012-01-01,53960.68
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2013-01-01,54545.36
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2014-01-01,55524.29
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2015-01-01,56838.68
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2016-01-01,57428.84
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2017-01-01,58394.49
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2018-01-01,59774.4
United States,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2019-01-01,60700.89
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1990-01-01,13958.74
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1991-01-01,14281.1
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1992-01-01,14533.75
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1993-01-01,14786.99
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1994-01-01,15254.12
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1995-01-01,14059.46
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1996-01-01,14772.62
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1997-01-01,15539.84
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1998-01-01,16096.41
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1999-01-01,16297.27
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2000-01-01,16858.06
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2001-01-01,16555.81
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2002-01-01,16323.54
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2003-01-01,16335.34
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2004-01-01,16742.88
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2005-01-01,16888.46
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2006-01-01,17392.48
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2007-01-01,17528.59
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2008-01-01,17465.9
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2009-01-01,16300.2
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2010-01-01,16889.81
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2011-01-01,17265.97
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2012-01-01,17653.96
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2013-01-01,17659.16
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2014-01-01,17934.64
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2015-01-01,18305.24
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2016-01-01,18602.14
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2017-01-01,18785.17
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2018-01-01,18977.85
Mexico,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",2019-01-01,18874.39
Canada,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1990-01-01,32666.27
Canada,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1991-01-01,31586.29
Canada,GDP_RCAP,Real GDP Per Capita,"US Dollar, 2015",1992-01-01,31491.7
